run,condition_label,target_rpm,actual_speed_mean_rpm,rotating_frequency_hz,channel,sensor_id,position,direction,signal_type,unit,band_label,low_hz,high_hz,energy,energy_ratio
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,velocity,mm/s,5000-12800 Hz,5000.0,12800.0,4.269319602661546e-34,3.502266046966773e-31
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,0-10 Hz,0.0,10.0,1.2670076499349083e-07,1.2822688428687161e-05
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,10-100 Hz,10.0,100.0,9.612495296291721e-06,0.0009728278453007125
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,100-1000 Hz,100.0,1000.0,5.7628043679226534e-05,0.005832217736739469
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,1000-5000 Hz,1000.0,5000.0,0.00047896387404019005,0.04847330263341221
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,5000-12800 Hz,5000.0,12800.0,0.009334651778747217,0.9447088291480737
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,0-10 Hz,0.0,10.0,2.07276943867285e-05,0.0018138610358384214
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,10-100 Hz,10.0,100.0,0.0026219038655558536,0.22944034067247343
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,100-1000 Hz,100.0,1000.0,0.0087847567444473,0.7687457982916879
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,1000-5000 Hz,1000.0,5000.0,8.357382607995318e-24,7.313466896705339e-22
